delta_x,delta_v
28.224361,-3.5073647
23.078598,-6.8689647
15.672762,-7.970494
10.323708,-2.591934
10.353214,2.786626
11.50144,-0.5749739
9.288066,-3.936574
7.9729323,1.4419861
7.7765183,-1.919614
8.478345,3.458946
10.298891,0.0973461
8.757836,-3.2642539
8.115023,2.1143062
8.590929,-1.247294
9.9650755,4.131266
12.457941,0.7696661
11.589208,-2.591934
8.4604025,-3.693463
7.3883796,1.685097
7.435076,-1.676503
8.380013,3.7020571
10.44367,0.34045702
9.145727,-3.021143
8.746024,2.357417
9.465041,-1.0041829
11.082298,4.3743773
13.818275,1.012777
13.192653,-2.348823
10.306958,-3.4503522
9.478046,1.9282079
31.962803,-1.4736997
28.850704,-4.8352995
23.478533,-5.9368286
17.365782,-6.2977777
13.689445,-0.9192179
11.131827,-4.280818
9.472449,1.0977421
8.931791,-2.2638578
9.289373,3.1147022
10.765676,-0.24689786
8.880378,-3.6084979
7.8933196,1.7700621
8.0249815,-1.5915378
9.054884,3.787022
11.203506,0.42542213
9.990528,-2.936178
9.675791,2.442382
10.479773,-0.9192179
9.023684,-2.020747
9.624377,3.3578131
11.34379,-0.0037869536
9.701603,-3.365387
8.957656,2.013173
9.332429,-1.3484269
10.605442,4.0301332
12.997175,0.668533
12.027308,-2.6930668
8.79737,-3.794596
7.624214,1.583964
7.5697784,-1.777636
29.86614,-2.533848
25.693893,-5.895448
19.261574,-6.9969773
14.886037,-1.6184171
14.126613,0.14402938
12.632242,-3.2175705
8.877801,-4.3191
7.180141,1.0594603
9.098595,2.8219068
10.282102,-0.5396932
8.104009,-3.9012933
6.8241553,1.4772668
6.663022,-1.8843331
7.400129,3.494227
9.255956,0.13262683
7.7501826,-3.2289732
7.142649,2.149587
7.6538363,-1.2120131
9.063263,4.166547
11.59141,0.80494684
10.7579565,-2.5566533
10.822743,2.8219068
12.00625,-0.5396932
9.828157,-3.9012933
8.548304,1.4772668
8.387171,-1.8843331
9.124278,3.494227
10.980104,0.13262683
9.474332,-3.2289732
8.866798,2.149587
33.086926,-1.9070158
29.54151,-5.2686157
23.736023,-6.370145
17.189957,-6.731094
13.080303,-1.3525339
12.586762,0.40991256
11.358274,-2.9516873
11.028028,2.4268725
11.8165,-0.93472743
10.344902,-2.0362566
10.930085,3.3423035
12.633988,-0.019296529
10.976292,-3.3808966
10.216835,1.9976635
10.576099,-1.3639365
8.675291,-2.4654655
8.831265,2.9130943
10.10596,-0.4485056
8.019054,-3.8101056
6.830389,1.5684544
6.760443,-1.7931457
7.588738,3.5854144
9.535752,0.22381438
8.121166,-3.1377857
7.604821,2.2407744
8.207195,-1.1208256
9.707809,4.2577343
12.327144,0.8961344
11.584879,-2.4654655
8.582542,-3.5669947
34.09956,-1.1912285
31.269932,-4.5528283
26.180233,-5.6543574
20.349953,-6.0153065
14.277,-6.1335826
10.764858,-0.7550224
10.86883,1.0074241
10.237854,-2.3541758
10.505117,3.0243843
11.891102,-0.33721584
9.915486,-3.6988158
8.83811,1.6797441
8.879455,-1.6818558
9.819038,3.6967041
11.877342,0.33510414
10.574047,-3.026496
10.168991,2.3520641
10.882655,-1.0095358
9.336248,-2.111065
